op_name,time_ms,cpu_time_total_ms,cuda_time_total_ms,calls
aten::add_,0.040380749999999015,0.4901430000000018,0.0,8
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0.03815044444444366,0.0,0.0,9
ampere_sgemm_32x32_sliced1x4_tn,0.03790299999999115,0.0,0.0,1
aten::contiguous,0.031843116279069786,3.7693749999999984,0.0,86
aten::clone,0.027072454545454785,4.414095000000041,0.0,110
aten::copy_,0.027072454545454785,2.8386560000000154,0.0,110
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0.027072454545454785,0.0,0.0,110
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float, false>(int, float, float const*, float const*, float const*, float*, float*, float*)",0.026498666666666268,0.0,0.0,57
"void at::native::vectorized_elementwise_kernel<4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",0.01918503225806548,0.0,0.0,31
aten::gelu,0.018941906250000896,0.9902199999999921,0.0,32
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0.011404999999998836,0.0,0.0,1
"void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, float const*, float*)",0.011334529411765663,0.0,0.0,17
aten::softmax,0.01006795833333202,0.6490090000000055,0.0,24
aten::_softmax,0.01006795833333202,0.5809750000000131,0.0,24
"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.01006795833333202,0.0,0.0,24
aten::add,0.008100612244897594,1.3609460000000018,0.0,49
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, true, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",0.00786699999999837,0.0,0.0,1
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",0.007846291666666274,0.0,0.0,48
aten::mul,0.006583916666665876,0.6599529999999977,0.0,24
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",0.006583916666665876,0.0,0.0,24
"void cudnn::cnn::kern_precompute_indices<false>(int*, int, int, int, int, int)",0.004605000000000473,0.0,0.0,1
aten::reshape,0.0010595663716815266,1.7947510000000328,0.0,226
Memset (Device),0.0008611496598644649,0.0,0.0,147
aten::unsqueeze,0.0,0.21508899999999995,0.0,17
aten::as_strided,0.0,0.5021069999999429,0.0,309
cudaLaunchKernel,0.0,7.621120999999994,0.0,580
aten::view,0.0,1.1320019999999487,0.0,582
aten::squeeze,0.0,0.06658600000000114,0.0,8
aten::transpose,0.0,1.3768419999999568,0.0,283
aten::empty_like,0.0,1.0893299999999726,0.0,111
aten::empty,0.0,1.72192799999996,0.0,306
[memory],0.0,0.0,0.0,569
cudaFuncSetAttribute,0.0,0.019067000000000917,0.0,17
cudaPeekAtLastError,0.0,0.004707000000003973,0.0,44
cudaFuncGetAttributes,0.0,0.02652900000000045,0.0,5
cudaLaunchKernelExC,0.0,0.05889000000000124,0.0,5
cudaMemsetAsync,0.0,1.738353000000072,0.0,147
aten::t,0.0,1.1402949999999346,0.0,146
cudaOccupancyMaxActiveBlocksPerMultiprocessor,0.0,0.21800600000004305,0.0,146
aten::dropout,0.0,0.11510599999999795,0.0,99
aten::empty_strided,0.0,0.005161000000000058,0.0,1
cudaEventRecord,0.0,0.011862000000002808,0.0,9
cudaStreamWaitEvent,0.0,0.013099000000009254,0.0,16
aten::slice,0.0,0.05228400000000147,0.0,1
aten::rand,0.0,1.0789370000000162,0.0,24
aten::uniform_,0.0,0.10735600000000341,0.0,24
aten::_unsafe_view,0.0,0.046878999999986265,0.0,24
cudaDeviceSynchronize,0.0,41.150861000000006,0.0,1
